"Assign as Sub-user","Chuyển thành tài khoản phụ"
"Company Account Info","Thông tin tài khoản doanh nghiệp"
"Shipping Address","Địa chỉ giao hàng"
"-- Please Select --","-- Chọn đi --"
"Role","Quyền"
"Something went wrong while convert to sub-user. Please review the log!","Có lỗi xảy ra khi chuyển đổi sang tài khoản phụ. Vui lòng xem qua tệp tin log"
"Group: %1","Nhóm khách hàng: %1"
"Customer to Sub-user Email Template","Mẫu email cho việc chuyển đổi khách hàng thành tài khoản phụ"
"BSS CA - Customer to Sub-user","BSS CA - Chuyển đổi khách hàng sang tài khoản phụ"
"Hi %name,","Xin chào %name,"
"You are request to be sub-user of %email company account!","Bạn đang được yêu cầu trở thành tài khoản phụ của %email"
"You can use your original password to login in, or set a new password here:","Bạn có thể sử dụng mật khẩu cũ để đăng nhập, hoặc không thì tạo:"
"Set a New Password","Đặt mật khẩu mới"
"The token will expire after about 3 days.","Mã token sẽ hết hạn sau 3 ngày."
"If you have any question, please contact your company account's email: %email.","Nếu có bất kỳ câu hỏi gì, thì đi mà liên hệ vớmail company account này: %email."
"Thank you!","Cảm ơn!"
"The current session has expired.","Phiên làm việc đã hết hạn."
"Please reload to update page.","Vui lòng tải lại trang để cập nhật lại phiên làm việc mới."
"Your account was assigned to other Company Account.","Tài khỏan của bạn đã được chuyển sang một tài khoản Company Account khác."
"Your account was assigned as Sub-user.","Tài khoản của cậu đã trở thành tài khoản phụ"
